batch_group,matrix,pathogen,count_0_1,count_1_10,count_10_100,count_100_1000,count_ge_1000,n_total,n_positive,median_pos
240216_PL1AG,Gorge,Mycoplasma genitalium,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Mycoplasma hominis,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Mycoplasma pneumoniae,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Mycoplasma spp,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Neisseria gonorrhoeae,28,0,3,13,2,46,18,171.5
240216_PL1AG,Gorge,Neisseria meningitidis,12,1,5,21,7,46,34,413.5
240216_PL1AG,Gorge,Neisseria spp,9,0,5,16,16,46,37,911.0
240216_PL1AG,Gorge,Papillomavirus,45,1,0,0,0,46,6,0.1286185
240216_PL1AG,Gorge,Shigella spp,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Staphylococcus aureus,44,1,1,0,0,46,2,11.269726
240216_PL1AG,Gorge,Treponema pallidum,46,0,0,0,0,46,0,0.0
240216_PL1AG,Gorge,Trichomonas vaginalis,46,0,0,0,0,46,6,0.1363665
240216_PL1AG,Gorge,Trichophyton spp,46,0,0,0,0,46,1,0.151913
240216_PL1AG,Gorge,Ureaplasma spp,46,0,0,0,0,46,0,0.0
240216_PL1U,Urine,Campylobacter jejuni,93,1,0,0,0,94,1,3.385464
240216_PL1U,Urine,Chlamydia spp,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Chlamydia trachomatis,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Clostridioides difficile,82,7,5,0,0,94,14,3.871185
240216_PL1U,Urine,Entamoeba histolytica,94,0,0,0,0,94,1,0.03044
240216_PL1U,Urine,Haemophilus ducreyi,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Haemophilus influenzae,74,10,10,0,0,94,22,7.913361
240216_PL1U,Urine,Haemophilus parainfluenzae,69,10,12,3,0,94,26,11.0
240216_PL1U,Urine,Human alphaherpesvirus 1,94,0,0,0,0,94,27,0.068983
240216_PL1U,Urine,Human alphaherpesvirus 2,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Mpox,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Mycoplasma genitalium,91,1,2,0,0,94,3,12.0
240216_PL1U,Urine,Mycoplasma hominis,89,4,1,0,0,94,7,1.970028
240216_PL1U,Urine,Mycoplasma pneumoniae,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Mycoplasma spp,91,1,2,0,0,94,3,12.0
240216_PL1U,Urine,Neisseria gonorrhoeae,92,1,0,1,0,94,3,1.305695
240216_PL1U,Urine,Neisseria meningitidis,91,2,0,1,0,94,4,2.991128
240216_PL1U,Urine,Neisseria spp,86,6,1,0,1,94,9,2.234299
240216_PL1U,Urine,Papillomavirus,93,0,1,0,0,94,23,0.098916
240216_PL1U,Urine,Shigella spp,94,0,0,0,0,94,1,0.070588
240216_PL1U,Urine,Staphylococcus aureus,36,51,7,0,0,94,66,3.30626
240216_PL1U,Urine,Treponema pallidum,94,0,0,0,0,94,0,0.0
240216_PL1U,Urine,Trichomonas vaginalis,76,15,3,0,0,94,46,0.5561585
240216_PL1U,Urine,Trichophyton spp,94,0,0,0,0,94,2,0.1292045
240216_PL1U,Urine,Ureaplasma spp,80,3,9,2,0,94,14,16.511057
240216_PL2AG,Anal,Campylobacter jejuni,11,22,11,0,0,44,38,7.4536055
240216_PL2AG,Anal,Chlamydia spp,44,0,0,0,0,44,0,0.0
240216_PL2AG,Anal,Chlamydia trachomatis,44,0,0,0,0,44,0,0.0
240216_PL2AG,Anal,Clostridioides difficile,2,4,14,24,0,44,43,116.0
240216_PL2AG,Anal,Entamoeba histolytica,43,1,0,0,0,44,12,0.274364
240216_PL2AG,Anal,Haemophilus ducreyi,44,0,0,0,0,44,0,0.0
240216_PL2AG,Anal,Haemophilus influenzae,29,10,5,0,0,44,19,4.904607
240216_PL2AG,Anal,Haemophilus parainfluenzae,17,11,13,3,0,44,33,5.909256
240216_PL2AG,Anal,Human alphaherpesvirus 1,44,0,0,0,0,44,25,0.250709
240216_PL2AG,Anal,Human alphaherpesvirus 2,43,0,1,0,0,44,1,44.0
240216_PL2AG,Anal,Mpox,44,0,0,0,0,44,0,0.0
240216_PL2AG,Anal,Mycoplasma genitalium,42,2,0,0,0,44,4,1.0513715000000001
240216_PL2AG,Anal,Mycoplasma hominis,25,14,5,0,0,44,20,6.853758
240216_PL2AG,Anal,Mycoplasma pneumoniae,44,0,0,0,0,44,0,0.0
240216_PL2AG,Anal,Mycoplasma spp,41,3,0,0,0,44,5,1.457024
240216_PL2AG,Anal,Neisseria gonorrhoeae,38,3,0,2,1,44,6,154.57598
240216_PL2AG,Anal,Neisseria meningitidis,38,3,3,0,0,44,9,3.413004
240216_PL2AG,Anal,Neisseria spp,35,5,1,2,1,44,12,3.1480815
240216_PL2AG,Anal,Papillomavirus,29,4,7,3,1,44,24,2.3779695
240216_PL2AG,Anal,Shigella spp,30,5,7,2,0,44,17,11.48255
240216_PL2AG,Anal,Staphylococcus aureus,9,19,16,0,0,44,40,5.567449
240216_PL2AG,Anal,Treponema pallidum,43,1,0,0,0,44,1,4.006137
240216_PL2AG,Anal,Trichomonas vaginalis,20,11,13,0,0,44,40,3.051997
240216_PL2AG,Anal,Trichophyton spp,44,0,0,0,0,44,3,0.186639
240216_PL2AG,Anal,Ureaplasma spp,40,2,2,0,0,44,6,5.599577
240216_PL2AG,Gorge,Campylobacter jejuni,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Chlamydia spp,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Chlamydia trachomatis,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Clostridioides difficile,46,1,0,0,0,47,1,5.061988
240216_PL2AG,Gorge,Entamoeba histolytica,47,0,0,0,0,47,1,0.180224
240216_PL2AG,Gorge,Haemophilus ducreyi,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Haemophilus influenzae,19,1,12,15,0,47,28,108.0
240216_PL2AG,Gorge,Haemophilus parainfluenzae,4,0,15,18,10,47,43,265.0
240216_PL2AG,Gorge,Human alphaherpesvirus 1,47,0,0,0,0,47,18,0.1354265
240216_PL2AG,Gorge,Human alphaherpesvirus 2,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Mpox,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Mycoplasma genitalium,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Mycoplasma hominis,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Mycoplasma pneumoniae,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Mycoplasma spp,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Neisseria gonorrhoeae,17,0,16,13,1,47,30,94.5
240216_PL2AG,Gorge,Neisseria meningitidis,8,3,6,22,8,47,39,335.0
240216_PL2AG,Gorge,Neisseria spp,6,0,5,21,15,47,41,692.0
240216_PL2AG,Gorge,Papillomavirus,47,0,0,0,0,47,2,0.1262265
240216_PL2AG,Gorge,Shigella spp,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Staphylococcus aureus,45,1,1,0,0,47,2,9.0998315
240216_PL2AG,Gorge,Treponema pallidum,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Trichomonas vaginalis,47,0,0,0,0,47,7,0.141333
240216_PL2AG,Gorge,Trichophyton spp,47,0,0,0,0,47,0,0.0
240216_PL2AG,Gorge,Ureaplasma spp,46,1,0,0,0,47,1,6.313993
240216_PL2U,Urine,Campylobacter jejuni,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Chlamydia spp,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Chlamydia trachomatis,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Clostridioides difficile,80,7,2,0,0,89,10,2.910349
240216_PL2U,Urine,Entamoeba histolytica,89,0,0,0,0,89,2,0.1388415
240216_PL2U,Urine,Haemophilus ducreyi,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Haemophilus influenzae,61,18,8,2,0,89,29,6.614689
240216_PL2U,Urine,Haemophilus parainfluenzae,65,7,13,3,1,89,26,25.5
240216_PL2U,Urine,Human alphaherpesvirus 1,89,0,0,0,0,89,11,0.079521
240216_PL2U,Urine,Human alphaherpesvirus 2,88,1,0,0,0,89,1,1.113299
240216_PL2U,Urine,Mpox,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Mycoplasma genitalium,89,0,0,0,0,89,2,0.44189
240216_PL2U,Urine,Mycoplasma hominis,85,3,0,1,0,89,4,7.8642590000000006
240216_PL2U,Urine,Mycoplasma pneumoniae,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Mycoplasma spp,89,0,0,0,0,89,2,0.44189
240216_PL2U,Urine,Neisseria gonorrhoeae,86,3,0,0,0,89,3,2.315238
240216_PL2U,Urine,Neisseria meningitidis,86,2,1,0,0,89,3,6.767618
240216_PL2U,Urine,Neisseria spp,84,3,2,0,0,89,5,4.268732
240216_PL2U,Urine,Papillomavirus,88,1,0,0,0,89,22,0.2059225
240216_PL2U,Urine,Shigella spp,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Staphylococcus aureus,50,34,5,0,0,89,47,2.782787
240216_PL2U,Urine,Treponema pallidum,89,0,0,0,0,89,0,0.0
240216_PL2U,Urine,Trichomonas vaginalis,83,3,3,0,0,89,19,0.371517
240216_PL2U,Urine,Trichophyton spp,89,0,0,0,0,89,2,0.18349149999999997
240216_PL2U,Urine,Ureaplasma spp,80,2,4,3,0,89,9,34.482187
240216_PL3AG,Anal,Campylobacter jejuni,13,18,14,0,0,45,34,7.014844
240216_PL3AG,Anal,Chlamydia spp,44,0,0,1,0,45,1,793.652034
240216_PL3AG,Anal,Chlamydia trachomatis,44,0,0,1,0,45,1,789.0
240216_PL3AG,Anal,Clostridioides difficile,3,7,15,20,0,45,42,91.5
240216_PL3AG,Anal,Entamoeba histolytica,45,0,0,0,0,45,9,0.22669
240216_PL3AG,Anal,Haemophilus ducreyi,45,0,0,0,0,45,0,0.0
240216_PL3AG,Anal,Haemophilus influenzae,28,13,2,2,0,45,19,4.626338
240216_PL3AG,Anal,Haemophilus parainfluenzae,11,22,8,4,0,45,34,7.2953835
240216_PL3AG,Anal,Human alphaherpesvirus 1,44,1,0,0,0,45,23,0.201273
240216_PL3AG,Anal,Human alphaherpesvirus 2,44,0,0,1,0,45,1,641.0
240216_PL3AG,Anal,Mpox,45,0,0,0,0,45,0,0.0
240216_PL3AG,Anal,Mycoplasma genitalium,45,0,0,0,0,45,0,0.0
240216_PL3AG,Anal,Mycoplasma hominis,34,10,1,0,0,45,14,3.0122225
240216_PL3AG,Anal,Mycoplasma pneumoniae,45,0,0,0,0,45,0,0.0
240216_PL3AG,Anal,Mycoplasma spp,45,0,0,0,0,45,0,0.0
240216_PL3AG,Anal,Neisseria gonorrhoeae,42,2,0,1,0,45,3,2.273591
240216_PL3AG,Anal,Neisseria meningitidis,41,2,1,1,0,45,6,4.6840585
240216_PL3AG,Anal,Neisseria spp,41,0,2,2,0,45,6,13.831071000000001
240216_PL3AG,Anal,Papillomavirus,15,16,10,4,0,45,37,3.967076
240216_PL3AG,Anal,Shigella spp,30,7,6,2,0,45,15,11.565846
240216_PL3AG,Anal,Staphylococcus aureus,11,14,18,2,0,45,35,12.0
240216_PL3AG,Anal,Treponema pallidum,44,1,0,0,0,45,1,2.312253
240216_PL3AG,Anal,Trichomonas vaginalis,17,19,8,1,0,45,36,4.9479935
240216_PL3AG,Anal,Trichophyton spp,45,0,0,0,0,45,1,0.155264
240216_PL3AG,Anal,Ureaplasma spp,40,3,2,0,0,45,5,7.312362
240216_PL3AG,Gorge,Campylobacter jejuni,45,0,1,0,0,46,1,14.0
240216_PL3AG,Gorge,Chlamydia spp,45,0,1,0,0,46,1,33.0
240216_PL3AG,Gorge,Chlamydia trachomatis,45,0,1,0,0,46,1,33.0
240216_PL3AG,Gorge,Clostridioides difficile,44,1,0,1,0,46,2,193.0680635
240216_PL3AG,Gorge,Entamoeba histolytica,46,0,0,0,0,46,4,0.11314850000000001
240216_PL3AG,Gorge,Haemophilus ducreyi,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Haemophilus influenzae,19,4,14,9,0,46,27,53.0
240216_PL3AG,Gorge,Haemophilus parainfluenzae,5,3,9,19,10,46,41,262.0
240216_PL3AG,Gorge,Human alphaherpesvirus 1,45,1,0,0,0,46,20,0.1655295
240216_PL3AG,Gorge,Human alphaherpesvirus 2,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Mpox,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Mycoplasma genitalium,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Mycoplasma hominis,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Mycoplasma pneumoniae,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Mycoplasma spp,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Neisseria gonorrhoeae,16,5,10,13,2,46,30,107.0
240216_PL3AG,Gorge,Neisseria meningitidis,9,4,9,14,10,46,37,275.0
240216_PL3AG,Gorge,Neisseria spp,9,1,6,14,16,46,37,707.0
240216_PL3AG,Gorge,Papillomavirus,45,0,0,1,0,46,4,0.840398
240216_PL3AG,Gorge,Shigella spp,45,0,1,0,0,46,1,48.50383
240216_PL3AG,Gorge,Staphylococcus aureus,41,4,1,0,0,46,6,3.4718785
240216_PL3AG,Gorge,Treponema pallidum,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Trichomonas vaginalis,45,1,0,0,0,46,10,0.1185015
240216_PL3AG,Gorge,Trichophyton spp,46,0,0,0,0,46,0,0.0
240216_PL3AG,Gorge,Ureaplasma spp,46,0,0,0,0,46,0,0.0
240216_PL3U,Urine,Campylobacter jejuni,61,2,0,0,0,63,3,1.225741
240216_PL3U,Urine,Chlamydia spp,63,0,0,0,0,63,1,0.978367
240216_PL3U,Urine,Chlamydia trachomatis,63,0,0,0,0,63,1,0.978367
240216_PL3U,Urine,Clostridioides difficile,54,6,3,0,0,63,10,3.1151790000000004
240216_PL3U,Urine,Entamoeba histolytica,63,0,0,0,0,63,1,0.161295
240216_PL3U,Urine,Haemophilus ducreyi,63,0,0,0,0,63,0,0.0
240216_PL3U,Urine,Haemophilus influenzae,43,12,7,1,0,63,24,5.4373125
240216_PL3U,Urine,Haemophilus parainfluenzae,42,12,7,2,0,63,23,6.644341
240216_PL3U,Urine,Human alphaherpesvirus 1,63,0,0,0,0,63,24,0.08031150000000001
240216_PL3U,Urine,Human alphaherpesvirus 2,63,0,0,0,0,63,1,0.501567
240216_PL3U,Urine,Mpox,63,0,0,0,0,63,0,0.0
240216_PL3U,Urine,Mycoplasma genitalium,61,1,1,0,0,63,2,7.724133
240216_PL3U,Urine,Mycoplasma hominis,59,3,1,0,0,63,5,5.038481
240216_PL3U,Urine,Mycoplasma pneumoniae,63,0,0,0,0,63,0,0.0
240216_PL3U,Urine,Mycoplasma spp,61,1,1,0,0,63,2,7.724133
240216_PL3U,Urine,Neisseria gonorrhoeae,60,1,2,0,0,63,4,10.560793499999999
240216_PL3U,Urine,Neisseria meningitidis,60,2,1,0,0,63,4,1.412107
240216_PL3U,Urine,Neisseria spp,57,4,1,1,0,63,8,4.4335249999999995
240216_PL3U,Urine,Papillomavirus,61,0,2,0,0,63,8,0.301661
240216_PL3U,Urine,Shigella spp,60,0,2,0,1,63,3,30.919457
240216_PL3U,Urine,Staphylococcus aureus,50,10,3,0,0,63,20,2.059348
240216_PL3U,Urine,Treponema pallidum,63,0,0,0,0,63,0,0.0
240216_PL3U,Urine,Trichomonas vaginalis,55,5,3,0,0,63,19,0.558155
240216_PL3U,Urine,Trichophyton spp,63,0,0,0,0,63,4,0.14128000000000002
240216_PL3U,Urine,Ureaplasma spp,53,2,6,2,0,63,11,18.451466
240216_PL4,Anal,Campylobacter jejuni,14,20,11,0,0,45,33,4.405987
240216_PL4,Anal,Chlamydia spp,44,1,0,0,0,45,2,0.8729255
240216_PL4,Anal,Chlamydia trachomatis,44,1,0,0,0,45,1,1.157538
240216_PL4,Anal,Clostridioides difficile,8,5,18,14,0,45,39,42.0
240216_PL4,Anal,Entamoeba histolytica,44,1,0,0,0,45,4,0.7693114999999999
240216_PL4,Anal,Haemophilus ducreyi,45,0,0,0,0,45,0,0.0
240216_PL4,Anal,Haemophilus influenzae,28,7,6,4,0,45,22,6.540281
240216_PL4,Anal,Haemophilus parainfluenzae,14,18,7,5,1,45,33,7.221417
240216_PL4,Anal,Human alphaherpesvirus 1,43,2,0,0,0,45,21,0.259447
240216_PL4,Anal,Human alphaherpesvirus 2,44,0,0,1,0,45,1,116.0
240216_PL4,Anal,Mpox,45,0,0,0,0,45,0,0.0
240216_PL4,Anal,Mycoplasma genitalium,43,1,1,0,0,45,2,14.6600915
240216_PL4,Anal,Mycoplasma hominis,31,10,3,1,0,45,18,2.7963690000000003
240216_PL4,Anal,Mycoplasma pneumoniae,45,0,0,0,0,45,0,0.0
240216_PL4,Anal,Mycoplasma spp,43,1,1,0,0,45,2,14.6600915
240216_PL4,Anal,Neisseria gonorrhoeae,40,1,2,2,0,45,7,11.0
240216_PL4,Anal,Neisseria meningitidis,36,6,3,0,0,45,12,3.2187919999999997
240216_PL4,Anal,Neisseria spp,30,5,8,2,0,45,19,11.565769
240216_PL4,Anal,Papillomavirus,19,13,8,5,0,45,30,6.0386025
240216_PL4,Anal,Shigella spp,34,7,3,1,0,45,12,8.236997500000001
240216_PL4,Anal,Staphylococcus aureus,11,18,15,1,0,45,40,7.8833899999999995
240216_PL4,Anal,Treponema pallidum,45,0,0,0,0,45,0,0.0
240216_PL4,Anal,Trichomonas vaginalis,19,16,10,0,0,45,38,1.6550585
240216_PL4,Anal,Trichophyton spp,45,0,0,0,0,45,3,0.172965
240216_PL4,Anal,Ureaplasma spp,37,2,5,1,0,45,8,15.1178505
240216_PL4,Gorge,Campylobacter jejuni,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Chlamydia spp,43,0,1,0,0,44,1,21.0
240216_PL4,Gorge,Chlamydia trachomatis,43,0,1,0,0,44,1,21.0
240216_PL4,Gorge,Clostridioides difficile,42,2,0,0,0,44,2,2.9292179999999997
240216_PL4,Gorge,Entamoeba histolytica,44,0,0,0,0,44,1,0.210773
240216_PL4,Gorge,Haemophilus ducreyi,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Haemophilus influenzae,17,6,10,11,0,44,27,63.0
240216_PL4,Gorge,Haemophilus parainfluenzae,3,1,12,20,8,44,41,228.0
240216_PL4,Gorge,Human alphaherpesvirus 1,43,1,0,0,0,44,14,0.1724805
240216_PL4,Gorge,Human alphaherpesvirus 2,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Mpox,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Mycoplasma genitalium,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Mycoplasma hominis,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Mycoplasma pneumoniae,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Mycoplasma spp,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Neisseria gonorrhoeae,21,4,9,10,0,44,23,84.0
240216_PL4,Gorge,Neisseria meningitidis,9,2,13,15,5,44,35,168.0
240216_PL4,Gorge,Neisseria spp,7,1,7,18,11,44,37,376.0
240216_PL4,Gorge,Papillomavirus,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Shigella spp,44,0,0,0,0,44,0,0.0
240216_PL4,Gorge,Staphylococcus aureus,43,1,0,0,0,44,1,3.694488
240216_PL4,Gorge,Treponema pallidum,43,0,1,0,0,44,1,12.0
240216_PL4,Gorge,Trichomonas vaginalis,44,0,0,0,0,44,4,0.133693
240216_PL4,Gorge,Trichophyton spp,44,0,0,0,0,44,1,0.381525
240216_PL4,Gorge,Ureaplasma spp,44,0,0,0,0,44,0,0.0
240216_PL5,Anal,Campylobacter jejuni,21,13,10,0,0,44,27,4.335997
240216_PL5,Anal,Chlamydia spp,43,1,0,0,0,44,1,2.307298
240216_PL5,Anal,Chlamydia trachomatis,43,1,0,0,0,44,1,2.076568
240216_PL5,Anal,Clostridioides difficile,9,4,16,15,0,44,37,69.0
240216_PL5,Anal,Entamoeba histolytica,43,1,0,0,0,44,8,0.220126
240216_PL5,Anal,Haemophilus ducreyi,44,0,0,0,0,44,0,0.0
240216_PL5,Anal,Haemophilus influenzae,27,7,8,2,0,44,23,4.645204
240216_PL5,Anal,Haemophilus parainfluenzae,19,11,8,6,0,44,26,16.0
240216_PL5,Anal,Human alphaherpesvirus 1,44,0,0,0,0,44,21,0.335292
240216_PL5,Anal,Human alphaherpesvirus 2,44,0,0,0,0,44,1,0.375949
240216_PL5,Anal,Mpox,44,0,0,0,0,44,0,0.0
240216_PL5,Anal,Mycoplasma genitalium,43,1,0,0,0,44,1,1.024539
240216_PL5,Anal,Mycoplasma hominis,34,4,3,3,0,44,11,13.0
240216_PL5,Anal,Mycoplasma pneumoniae,44,0,0,0,0,44,0,0.0
240216_PL5,Anal,Mycoplasma spp,43,1,0,0,0,44,1,1.024539
240216_PL5,Anal,Neisseria gonorrhoeae,40,1,2,0,1,44,4,15.5
240216_PL5,Anal,Neisseria meningitidis,39,2,3,0,0,44,8,1.1359975
240216_PL5,Anal,Neisseria spp,38,2,2,1,1,44,10,1.8349565
240216_PL5,Anal,Papillomavirus,21,11,9,2,1,44,32,3.2316635
240216_PL5,Anal,Shigella spp,29,2,7,5,1,44,16,52.246212
240216_PL5,Anal,Staphylococcus aureus,16,17,10,1,0,44,31,5.770756
240216_PL5,Anal,Treponema pallidum,44,0,0,0,0,44,0,0.0
240216_PL5,Anal,Trichomonas vaginalis,24,17,2,1,0,44,34,1.9644145000000002
240216_PL5,Anal,Trichophyton spp,44,0,0,0,0,44,5,0.259876
240216_PL5,Anal,Ureaplasma spp,37,5,2,0,0,44,7,5.70722
240216_PL5,Gorge,Campylobacter jejuni,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Chlamydia spp,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Chlamydia trachomatis,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Clostridioides difficile,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Entamoeba histolytica,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Haemophilus ducreyi,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Haemophilus influenzae,16,3,15,11,2,47,31,73.0
240216_PL5,Gorge,Haemophilus parainfluenzae,4,2,12,22,7,47,43,240.0
240216_PL5,Gorge,Human alphaherpesvirus 1,45,1,0,1,0,47,19,0.194678
240216_PL5,Gorge,Human alphaherpesvirus 2,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Mpox,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Mycoplasma genitalium,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Mycoplasma hominis,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Mycoplasma pneumoniae,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Mycoplasma spp,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Neisseria gonorrhoeae,21,2,11,11,2,47,26,104.5
240216_PL5,Gorge,Neisseria meningitidis,11,1,13,14,8,47,36,282.0
240216_PL5,Gorge,Neisseria spp,8,1,7,15,16,47,39,726.0
240216_PL5,Gorge,Papillomavirus,47,0,0,0,0,47,1,0.070904
240216_PL5,Gorge,Shigella spp,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Staphylococcus aureus,44,2,1,0,0,47,3,7.102086
240216_PL5,Gorge,Treponema pallidum,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Trichomonas vaginalis,47,0,0,0,0,47,3,0.141099
240216_PL5,Gorge,Trichophyton spp,47,0,0,0,0,47,0,0.0
240216_PL5,Gorge,Ureaplasma spp,47,0,0,0,0,47,0,0.0
240216_PL6,Anal,Campylobacter jejuni,7,4,1,0,0,12,6,5.615363
240216_PL6,Anal,Chlamydia spp,12,0,0,0,0,12,0,0.0
240216_PL6,Anal,Chlamydia trachomatis,12,0,0,0,0,12,0,0.0
240216_PL6,Anal,Clostridioides difficile,2,1,6,3,0,12,11,39.0
